楽曲名,収録,歌唱,種別,表紙
恋文,"恋色同盟,Lily@s Plage",はのこと/ハコリリ,オリジナル,恋色同盟
東京サマーセッション,恋色同盟,はのこと/ハコリリ,カバー,恋色同盟
可愛くなりたい,恋色同盟,はのこと/ハコリリ,カバー,恋色同盟
大人禁猟区,"恋色同盟,Lily@s Plage",はのこと/ハコリリ,オリジナル,恋色同盟
生意気ハニー –another story-,恋色同盟,Hanon,カバー,恋色同盟
ファンサ,恋色同盟,Kotoha,カバー,恋色同盟
じゃぱにーずTOKYOガール,"恋色同盟,Lily@s Plage",はのこと/ハコリリ,オリジナル,恋色同盟
イノコリ先生,恋色同盟,はのこと/ハコリリ,カバー,恋色同盟
すたんどあっぷ！！！,"恋色同盟,Lily@s Plage",はのこと/ハコリリ,オリジナル,恋色同盟
サマー様,"水声少女,Lily@s Plage",はのこと/ハコリリ,オリジナル,水声少女
にゃんにゃんおやつクッキング,"水声少女,Lily@s Plage",はのこと/ハコリリ,オリジナル,水声少女
ずっといっしょ,"水声少女,Lily@s Plage",はのこと/ハコリリ,カバー,水声少女
シス×ラブ,水声少女,はのこと/ハコリリ,オリジナル,水声少女
好きぴしか勝たん！,"水声少女,Lily@s Plage",はのこと/ハコリリ,オリジナル,水声少女
ハロウィンナイトパーティ,"水声少女,Lily@s Plage",はのこと/ハコリリ,オリジナル,水声少女
婚約戦争 ～ Hanon×Kotoha×かぴ ～,水声少女,はのこと/ハコリリ,カバー,水声少女
もふもふなかま,"水声少女,Lily@s Plage",はのこと/ハコリリ,オリジナル,水声少女
カンナギ,水声少女,はのこと/ハコリリ,オリジナル,水声少女
ワタシノミカタ,水声少女,はのこと/ハコリリ,カバー,水声少女
Wave,"Mirage Vox,Lily@s Plage",はのこと/ハコリリ,オリジナル,Mirage Vox
一緒なら,"Mirage Vox,Lily@s Plage",はのこと/ハコリリ,オリジナル,Mirage Vox
ラブガンナー,"Mirage Vox,Lily@s Plage",はのこと/ハコリリ,オリジナル,Mirage Vox
きみだよ,"Mirage Vox,Lily@s Plage",はのこと/ハコリリ,オリジナル,Mirage Vox
大好きな事って口に出して言いたいじゃん？,Mirage Vox,Hanon,カバー,Mirage Vox
可愛いねって言われちゃった,Mirage Vox,Kotoha,カバー,Mirage Vox
コガネゾラ,"Lily@s Plage,コガネゾラ ~ハコリリ・アニメ盤~,コガネゾラ ~Hanon盤~,コガネゾラ ~Kotoha盤~",はのこと/ハコリリ,オリジナル,コガネゾラ ~ハコリリ・アニメ盤
夏、透明な青に惹かれて。,Lily@s Plage,はのこと/ハコリリ,オリジナル,Lily@s Plage
マサキじゃないけど好き,"Lily@s Plage,キョリ感 ~ハコリリ・アニメ盤~",はのこと/ハコリリ,オリジナル,キョリ感 ~ハコリリ・アニメ盤~
世界一の友人だったあなたへ,Lily@s Plage,はのこと/ハコリリ,オリジナル,Lily@s Plage
ハサミガール,Lily@s Plage,Kotoha,オリジナル,Lily@s Plage
NEVER LAND,Lily@s Plage,Hanon,オリジナル,Lily@s Plage
僕が最高だから,Lily@s Plage,はのこと/ハコリリ,オリジナル,Lily@s Plage
どげざ,Lily@s Plage,Kotoha,オリジナル,Lily@s Plage
ニゲルガカチ,Lily@s Plage,Hanon,オリジナル,Lily@s Plage
泡沫の夢,"Lily@s Plage,コガネゾラ ~ハコリリ・アニメ盤~",はのこと/ハコリリ,オリジナル,コガネゾラ ~ハコリリ・アニメ盤
きらきらスイーツパーチー,"Lily@s Plage,キョリ感 ~ハコリリ・アニメ盤~",はのこと/ハコリリ,オリジナル,キョリ感 ~ハコリリ・アニメ盤~
キョリ感,"Lily@s Plage,キョリ感 ~ハコリリ・アニメ盤~,キョリ感 ~Hanon盤~,キョリ感 ~Kotoha盤~",はのこと/ハコリリ,オリジナル,キョリ感 ~ハコリリ・アニメ盤~
君の一番になりたいの！,Lily@s Plage,はのこと/ハコリリ,オリジナル,Lily@s Plage
きっと仲直り,"Lily@s Plage,コガネゾラ ~ハコリリ・アニメ盤~,コガネゾラ ~Hanon盤~,コガネゾラ ~Kotoha盤~",はのこと/ハコリリ,オリジナル,コガネゾラ ~ハコリリ・アニメ盤~
ハッピークリスマスパーティ,Winter Vox,はのこと/ハコリリ,オリジナル,Winter Vox
秘密のバレンタイン,Winter Vox,はのこと/ハコリリ,オリジナル,Winter Vox
この世界の楽しみ方,Winter Vox,はのこと/ハコリリ,カバー,Winter Vox
僕らのRTA,Winter Vox,はのこと/ハコリリ,オリジナル,Winter Vox
ひと夏のエラー,Summer Vox,はのこと/ハコリリ,オリジナル,Summer Vox
私のこと好きでしょ？,Summer Vox,はのこと/ハコリリ,オリジナル,Summer Vox
陽だまりデイズ,Summer Vox,はのこと/ハコリリ,オリジナル,Summer Vox
決戦スピリット,Summer Vox,Hanon,カバー,Summer Vox
ヒロインは平均以下。,Summer Vox,Kotoha,カバー,Summer Vox
ツインテール魔法少女,"Spring Vox",はのこと/ハコリリ,オリジナル,"Spring Vox"
2人きりになっちゃってよ,"Spring Vox",はのこと/ハコリリ,オリジナル,"Spring Vox"
まわり,"Spring Vox",はのこと/ハコリリ,オリジナル,"Spring Vox"
彷徨うカケラ,"Spring Vox",Hanon,オリジナル,"Spring Vox"
嫌いにさせて,"Spring Vox",Kotoha,オリジナル,"Spring Vox"
全力スタートライン,"Spring Vox",はのこと/ハコリリ,オリジナル,"Spring Vox"
神頼みヒーロー,"Autumn Vox",はのこと/ハコリリ,オリジナル,"Autumn Vox"
キュンってさせて！,"Autumn Vox",はのこと/ハコリリ,オリジナル,"Autumn Vox"
Get out of my way!,"Autumn Vox",はのこと/ハコリリ,オリジナル,"Autumn Vox"
ツインテールのあの子,"Autumn Vox",はのこと/ハコリリ,オリジナル,"Autumn Vox"
消えない温度,"Autumn Vox",Kotoha,オリジナル,"Autumn Vox"
紡ぎ,"Autumn Vox",Hanon,オリジナル,"Autumn Vox"
お注射しちゃいます,"コガネゾラ ~Hanon盤~",Hanon,オリジナル,"コガネゾラ ~Hanon盤~"
マジェスティックラブ,コガネゾラ ~Kotoha盤~,Kotoha,オリジナル,コガネゾラ ~Kotoha盤~
君の視界に僕の声流れるまで,キョリ感 ~Hanon盤~,Hanon,オリジナル,キョリ感 ~Hanon盤~
制服のままで,キョリ感 ~Hanon盤~,Hanon,オリジナル,キョリ感 ~Hanon盤~
叶わぬ恋じゃ終われない！,キョリ感 ~Kotoha盤~,Kotoha,オリジナル,キョリ感 ~Kotoha盤~
虹とニラ,キョリ感 ~Kotoha盤~,Kotoha,オリジナル,キョリ感 ~Kotoha盤~
キラキラ,キラキラ,はのこと/ハコリリ,オリジナル,キラキラ
質問、恋って何でしょうか?,質問、恋って何でしょうか?,はのこと/ハコリリ,オリジナル,質問、恋って何でしょうか?
にんころダンス,にんころダンス,はのこと/ハコリリ,オリジナル,にんころダンス
絶対称賛！,絶対称賛！,はのこと/ハコリリ,オリジナル,絶対称賛！
