動画ID,タイトル,投稿日（日本時間）,投稿チャンネル,再生数,タグ
T6on-Fy9Rms,決戦スピリット／CHiCO with HoneyWorks【Hanon ver.】,2025/12/07,Hanon,80520,Hanon
E8Tj1pAJ7qw,革命道中 -On The Way- / アイナ・ジ・エンド【Covered by Kotoha】,2025/12/04,Kotoha,166222,Kotoha
Aq8bmrnbuII,"HoneyWorks - 決戦スピリット feat. CHiCO, mona, ハコニワリリィ, 可憐なアイボリー, 高嶺のなでしこ / THE FIRST TAKE",2025/12/03,THE FIRST TAKE,591675,"ハコニワリリィ,Hanon,Kotoha"
DR6sk5Ye_SU,IRIS OUT／米津玄師【Covered by Hanon】,2025/11/30,Hanon,140703,Hanon
nBL4ZgeSlh8,好き好き好きが好きなだけ -有頂天！EX Ver-/ Kotoha(ゲーム版『ホーリーアンデッド～非モテでぼっちの死霊術士が、聖女に転生してお友達を増やします～』挿入歌),2025/11/26,Kotoha,15836,Kotoha
dfDP_AnaEbA,ムカつく-another story- feat. Hanon／HoneyWorks,2025/11/23,Hanon,36102,Hanon
nDeKfR5iBxY,"HoneyWorks - 可愛くてごめん feat. CHiCO, mona, ハコニワリリィ, 可憐なアイボリー, 高嶺のなでしこ / THE FIRST TAKE",2025/11/21,THE FIRST TAKE,1464431,"ハコニワリリィ,Hanon,Kotoha"
pgPLqbcYBhg,Kawaii Kaiwai／PiKi【Hanon×ぱぺっとがうちゃん】,2025/11/18,Hanon,23486,Hanon
ZydTuPk8xxs,プロポーズ / なとり【Covered by Kotoha】,2025/11/12,Kotoha,545870,Kotoha
BKfwGa7WL5E,もしもし♡／UNIS【ハコニワリリィver.】,2025/10/31,MARUMOCHI from HoneyWorks,81768,"ハコニワリリィ,Hanon,Kotoha"
QVgy7E9Vuuw,絶対称賛！／Kotoha solo ver.(アニメ『笑顔のたえない職場です。』OPテーマ)【Music Video】,2025/10/24,Kotoha,35248,Kotoha
gULXfNvUqyo,絶対称賛！／Hanon solo ver.(アニメ『笑顔のたえない職場です。』OPテーマ)【Music Video】,2025/10/24,Hanon,43178,Hanon
KXsUzJWDf0U,Journey under stars ／Hanon -スターセイヴァーOST-,2025/10/21,Hanon,37111,Hanon
ZTqeWNIxkhE,マシュマロ / DECO*27【Covered by Kotoha】,2025/10/19,Kotoha,105636,Kotoha
S6vGv9EEnZs,いますぐ輪廻 / なきそ【Covered by Kotoha】,2025/10/16,Kotoha,146849,Kotoha
0lKdYjDxV08,マシュマロ／DECO*27 【Covered by Hanon】,2025/10/16,Hanon,49725,Hanon
aDWAXtpNR2U,絶対称賛！／HoneyWorks feat.ハコニワリリィ(アニメ『笑顔のたえない職場です。』OPテーマ)【Music Video】,2025/10/13,MARUMOCHI from HoneyWorks,1498705,"ハコニワリリィ,Hanon,Kotoha"
8dBIipOuGX0,Blue Jeans／HANA【Covered by Hanon】,2025/10/12,Hanon,41554,Hanon
0dZWfdmawaY,今、恋がはじまれ。 -another story-／HoneyWorks（Hanon ver.）,2025/10/7,Hanon,49180,Hanon
4-ajo-XGsuE,今、恋がはじまれ。/ HoneyWorks (Kotoha Ver.),2025/10/1,Kotoha,126453,Kotoha
DbNwGNSsTZ8,T氏の話を信じるな／ピノキオピー【Covered by Hanon × Kotoha】,2025/9/28,Hanon,47577,"ハコニワリリィ,Hanon,Kotoha"
5f-0JICG9GA,質問、恋って何でしょうか？／HoneyWorks feat.ハコニワリリィ(アニメ『男女の友情は成立する？（いや、しないっ!!）』OPテーマ)【アニメMusic Video】,2025/09/26,MARUMOCHI from HoneyWorks,556245,"ハコニワリリィ,Hanon,Kotoha"
OFB9awJX0mA,テロメアの産声 / Heavenz【Covered by Kotoha】,2025/09/21,Kotoha,178288,Kotoha
nbV1J1fuSzI,君の一番になりたいの！ -Acoustic Live ver.-／ ハコニワリリィ,2025/09/19,MARUMOCHI from HoneyWorks,52547,"ハコニワリリィ,Hanon,Kotoha"
rgR3p28NJ0Q,質問、恋って何でしょうか？ -Acoustic Live ver.- ／ハコニワリリィ,2025/09/12,MARUMOCHI from HoneyWorks,274114,"ハコニワリリィ,Hanon,Kotoha"
6PsaiXfiqRw,コガネゾラ -Acoustic Live ver.- ／ハコニワリリィ,2025/9/6,MARUMOCHI from HoneyWorks,37375,"ハコニワリリィ,Hanon,Kotoha"
vA2HokoKvNM,プレイ／Giga【Covered by Hanon】,2025/09/03,Hanon,47865,Hanon
l3gfijNeq_I,プレイ / Giga【Covered by Kotoha】,2025/08/17,Kotoha,130528,Kotoha
Cx20wVYuchM,【ぴちぴちピッチ】Legend of Mermaid【8人で歌ってみた】,2025/08/16,月乃 / Tsukino Channel,167342,"ハコニワリリィ,Hanon,Kotoha"
QcYghwEMUgc,お返事まだカナ💦❓おじさん構文😁❗️/ Hanon ver.【歌ってみた】,2025/08/10,Hanon,91223,Hanon
Gg-CiovKrz8,恋風 / 幾田りら【Covered by Kotoha】,2025/08/09,Kotoha,282732,Kotoha
zQUm-EQniPc,可愛い理由／ハコニワリリィver. 【HoneyWorks】,2025/08/08,MARUMOCHI from HoneyWorks,99620,"ハコニワリリィ,Hanon,Kotoha"
57d8UwUBidM,チェリーポップ / DECO*27【Covered by Kotoha】,2025/08/03,Kotoha,449380,Kotoha
0ShA8PZqsjg,恋風／幾田りら【Covered by Hanon】,2025/08/01,Hanon,118202,Hanon
7lsBWv0tgJQ,点描の唄／Mrs. GREEN APPLE feat. 井上苑子【Kotoha × Tani Yuuki】,2025/07/27,Kotoha,654805,Kotoha
