動画ID,タイトル,1週間前再生数,現在再生数,増加数,投稿日,チャンネル
PgCc3OMrS8c,今はいいんだよ。 / MIMI【Covered by Kotoha】,39211790,39579370,367580,2023/01/24,Kotoha
6vqG32gEmzA,愛するように / MIMI【Covered by Kotoha】,22465548,22639114,173566,2022/11/13,Kotoha
fEv7tsjx7TU,だきしめるまで。 / MIMI【Covered by Kotoha】,18366663,18487433,120770,2022/02/14,Kotoha
42jhMWfKY9Y,質問、恋って何でしょうか？／HoneyWorks feat.ハコニワリリィ(アニメ『男女の友情は成立する？（いや、しないっ!!）』OPテーマ)【Music Video】,4049010,4159752,110742,2025/04/05,MARUMOCHI from HoneyWorks
nDeKfR5iBxY,"HoneyWorks - 可愛くてごめん feat. CHiCO, mona, ハコニワリリィ, 可憐なアイボリー, 高嶺のなでしこ / THE FIRST TAKE",1366786,1464431,97645,2025/11/21,THE FIRST TAKE
Aq8bmrnbuII,"HoneyWorks - 決戦スピリット feat. CHiCO, mona, ハコニワリリィ, 可憐なアイボリー, 高嶺のなでしこ / THE FIRST TAKE",501898,591675,89777,2025/12/03,THE FIRST TAKE
ZydTuPk8xxs,プロポーズ / なとり【Covered by Kotoha】,466629,545870,79241,2025/11/12,Kotoha
k9-OQj5O6yc,消えない温度(feat.MIMI) / Kotoha【Music Video】,2638363,2676404,38041,2024/08/17,Kotoha
5f-0JICG9GA,質問、恋って何でしょうか？／HoneyWorks feat.ハコニワリリィ(アニメ『男女の友情は成立する？（いや、しないっ!!）』OPテーマ)【アニメMusic Video】,527430,556245,28815,2025/09/26,MARUMOCHI from HoneyWorks
i3E2eNdfF8g,『地球最後の告白を』Acoustic cover. 優里× Kotoha（ハコニワリリィ）,1902767,1930551,27784,2025/05/06,優里ちゃんねる【公式】
E8Tj1pAJ7qw,革命道中 -On The Way- / アイナ・ジ・エンド【Covered by Kotoha】,138444,166222,27778,2025/12/04,Kotoha
0wGvSmOMeNU,愛言葉Ⅳ / DECO*27【Covered by Kotoha】,3049972,3074705,24733,2022/07/02,Kotoha
DR6sk5Ye_SU,IRIS OUT／米津玄師【Covered by Hanon】,118135,140703,22568,2025/11/30,Hanon
